SERIAL_CODE,MACHINE_ID,OPERATER,DAY_TIME,STATUS
374178,TPP1,OPE01,2/28/2020 2:55:55,6
374177,TPP1,OPE01,2/28/2020 1:19:12,3
374176,TPP1,OPE01,2/28/2020 0:12:08,6
325610,TPP4,OPE04,2/28/2020 0:05:43,6
295281,TPP3,OPE03,2/28/2020 0:04:41,6
259922,TPP2,OPE02,2/28/2020 0:00:48,6
325609,TPP4,OPE04,2/27/2020 22:55:28,4
374175,TPP1,OPE01,2/27/2020 19:19:08,4
295280,TPP3,OPE03,2/27/2020 17:15:18,4
374174,TPP1,OPE01,2/27/2020 17:10:54,4
259921,TPP2,OPE02,2/27/2020 17:08:35,4
374173,TPP1,OPE01,2/27/2020 17:03:55,4
374172,TPP1,OPE01,2/27/2020 17:01:47,4
374171,TPP1,OPE01,2/27/2020 16:59:38,4
295279,TPP3,OPE03,2/27/2020 16:59:21,4
259920,TPP2,OPE02,2/27/2020 16:49:54,4
259919,TPP2,OPE02,2/27/2020 16:45:39,4
259918,TPP2,OPE02,2/27/2020 16:41:41,4
295278,TPP3,OPE03,2/27/2020 16:25:05,4
295277,TPP3,OPE03,2/27/2020 16:19:55,4
259917,TPP2,OPE02,2/27/2020 15:11:46,4
325608,TPP4,OPE04,2/27/2020 14:36:58,1
325607,TPP4,OPE04,2/27/2020 14:36:47,3
325606,TPP4,OPE04,2/27/2020 14:36:36,5
325605,TPP4,OPE04,2/27/2020 14:36:31,2
325604,TPP4,OPE04,2/27/2020 14:36:30,3
259916,TPP2,OPE02,2/27/2020 14:36:24,3
325603,TPP4,OPE04,2/27/2020 14:35:33,1
259915,TPP2,OPE02,2/27/2020 14:35:27,1
325602,TPP4,OPE04,2/27/2020 14:35:19,3
259914,TPP2,OPE02,2/27/2020 14:35:17,3
325601,TPP4,OPE04,2/27/2020 14:35:09,5
259913,TPP2,OPE02,2/27/2020 14:35:05,5
325600,TPP4,OPE04,2/27/2020 14:35:04,2
325599,TPP4,OPE04,2/27/2020 14:35:03,3
259912,TPP2,OPE02,2/27/2020 14:35:00,2
259911,TPP2,OPE02,2/27/2020 14:34:08,3
325598,TPP4,OPE04,2/27/2020 14:34:06,1
325597,TPP4,OPE04,2/27/2020 14:33:57,3
374170,TPP1,OPE01,2/27/2020 14:33:52,1
374169,TPP1,OPE01,2/27/2020 14:33:42,3
325596,TPP4,OPE04,2/27/2020 14:33:41,5
325594,TPP4,OPE04,2/27/2020 14:33:36,2
325595,TPP4,OPE04,2/27/2020 14:33:36,2
374168,TPP1,OPE01,2/27/2020 14:33:34,5
374167,TPP1,OPE01,2/27/2020 14:33:29,2
295276,TPP3,OPE03,2/27/2020 14:33:18,1
259910,TPP2,OPE02,2/27/2020 14:33:11,1
259909,TPP2,OPE02,2/27/2020 14:33:01,3
259908,TPP2,OPE02,2/27/2020 14:32:55,5
374166,TPP1,OPE01,2/27/2020 14:32:53,3
259907,TPP2,OPE02,2/27/2020 14:32:50,2
